file_name,actress,archetype,situ,max_f0,min_f0,f0_range,f0_dev,sentence_type,,,,
somelike_25,Monroe,dumbblonde,casual,470,294,176,52,yn,,,,
somelike_26,Monroe,dumbblonde,casual_light,525,388,137,115,d,,,,
somelike_27,Monroe,dumbblonde,casual_light,381,254,127,31,d,,,,
somelike_28,Monroe,dumbblonde,casual_light,535,230,305,91,d,,,,
somelike_29,Monroe,dumbblonde,casual_light,330,200,130,40,d,,,,
somelike_30,Monroe,dumbblonde,casual_light,735,229,506,108,e,,,,
somelike_31,Monroe,dumbblonde,casual_light,527,252,275,66,wh,,,,
somelike_32,Monroe,dumbblonde,casual_light,379,224,155,35,wh,,,,
somelike_33,Monroe,dumbblonde,casual_light,339,187,152,32,d,,,,
somelike_34,Monroe,dumbblonde,casual_light,362,196,166,37,d,,,,
somelike_35,Monroe,dumbblonde,casual_light,506,221,285,88,wh,,,,
somelike_36,Monroe,dumbblonde,casual_light,401,225,176,74,wh,,,,
somelike_37,Monroe,dumbblonde,casual_light,398,266,132,32,yn,,,,
somelike_38,Monroe,dumbblonde,casual_light,491,281,210,55,yn,,,,
somelike_39,Monroe,dumbblonde,casual_light,395,217,178,47,d,,,,
somelike_40,Monroe,dumbblonde,casual_light,522,185,337,81,e,,,,
somelike_41,Monroe,dumbblonde,casual_light,379,311,68,15,yn,,,,
niagra_1,Monroe,femmefatale,casual_mys,257,190,67,16,d,,,,
niagra_2,Monroe,femmefatale,casual_mys,242,181,61,13,d,,,,
niagra_3,Monroe,femmefatale,casual_mys,279,190,89,23,yn,,,,
niagra_4,Monroe,femmefatale,casual_light,543,217,326,61,e,,,,
niagra_5,Monroe,femmefatale,scheme,341,159,182,51,d,,,,
niagra_6,Monroe,femmefatale,scheme,216,147,69,16,d,,,,
niagra_7,Monroe,femmefatale,scheme,262,147,115,24,d,,,,
niagra_8,Monroe,femmefatale,scheme,269,116,153,22,d,,,,
niagra_9,Monroe,femmefatale,confront,349,184,165,49,e,,,,
niagra_10,Monroe,femmefatale,confront,316,181,135,32,yn,,,,
niagra_11,Monroe,femmefatale,confront,359,163,196,56,d,,,,
niagra_12,Monroe,femmefatale,confront,245,172,73,17,d,,,,
niagra_13,Monroe,femmefatale,confront,332,165,167,43,d,,,,
niagra_14,Monroe,femmefatale,confront,319,165,154,37,d,,,,
niagra_15,Monroe,femmefatale,casual_mys,289,216,73,16,yn,,,,
niagra_16,Monroe,femmefatale,casual_mys,297,178,119,30,d,,,,
niagra_17,Monroe,femmefatale,casual_mys,256,231,25,8,d,,,,
niagra_18,Monroe,femmefatale,casual_mys,288,198,90,19,d,,,,
niagra_19,Monroe,femmefatale,confront,402,195,207,73,d,,,,
niagra_20,Monroe,femmefatale,casual_mys,281,173,108,19,d,,,,
